Object	z	Distance (Mpc)	Discovery Date (UT)	TDE Class	Discovery Paper	
iPTF16fnl	0.0163	71	2016 Aug 29	TDE-H+He	Blagorodnova et al. (2017)	
AT2019dsg	0.0512	230	2019 Apr 9	TDE-H+He	Hammerstein et al. (2023)	
AT2020mot 	0.070	317	2020 Jun 14	TDE-H+He	Hammerstein et al. (2023)	
ASASSN-14ae	0.0436	200	2014 Jan 25	TDE-H+He 	Holoien et al. (2014)	
PS16dtm	0.0804	368	2016 Aug 12	TDE-H	Blanchard et al. (2017)	
OGLE17aaj 	0.116	540	2017 Jan 2	TDE-H+He	Gromadzki et al. (2019)	
AT2018zr	0.071	323	2018 Mar 2	TDE-H+He 	van Velzen et al. (2021)	
AT2018dyb	0.018	79	2018 Jul 11	TDE-Bowen	Holoien et al. (2020)	
AT2018bsi 	0.051	228	2018 Apr 9	TDE-H+He	van Velzen et al. (2021)	
AT2018hco	0.088	404	2018 Oct 4	TDE-H	van Velzen et al. (2021)	
AT2018hyz	0.046	205	2018 Oct 14	TDE-H+He 	Gomez et al. (2020), Short et al. (2020)	
AT2019ehz	0.074	338	2019 Apr 29	TDE-H	van Velzen et al. (2021)	
AT2019eve	0.081	372	2019 May 5	TDE-H	van Velzen et al. (2021)	
AT2019teq	0.087	404	2019 Oct 20	TDE-H+He	Hammerstein et al. (2023)	
AT2020nov 	0.084	385	2020 Jun 27	TDE-H+He	Frederick et al. (2020)	
AT2020neh	0.062	280	2020 Jun 19	TDE-H+He	Angus et al. (2022)	
AT2020pj 	0.068	308	2020 Jan 2	TDE-H+He	Hammerstein et al. (2023)	
AT2020wey 	0.027	120	2020 Oct 8	TDE-H+He	Hammerstein et al. (2023)	
DES14C1kia	0.162	782	2014 Nov 11	TDE-He	Foley et al. (2015)	
iPTF15af	0.079	360	2015 Jan 15	TDE-H+He	Blagorodnova et al. (2019)	
iPTF16axa	0.108	503	2016 May 29	TDE-H+He	Hung et al. (2017)	
AT2017eqx	0.109	508	2017 Jun 7	TDE-H+He	Nicholl et al. (2019)	
AT2018fyk	0.059	264	2018 Sept 8	TDE-H+He	Wevers et al. (2019)	
AT2018lna	0.091	419	2018 Dec 28	TDE-H+He	van Velzen et al. (2021)	
